F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
RBJE0500,안성탕면,125,525,11,17,82,3,1790,0,9,0
SGJE0600,알새우칩,35,180,0.7,9,24,3,270,0,0,0
RBJN0303,앵그리너구리,121,500,9,14,85,5,1690,3,8,0
RCPE0700,앵그리짜파구리큰사발면,108,500,8,19,74,9,1230,3,8,0
SCAE0800,야채크래커,30,45.9,0.63,2.25,5.76,0.77,45.9,0.03,1.17,0.01
RBJN0304,얼큰한 너구리,120,490,8,14,83,5,1760,5,8,0
SBSE0900,에이스,30,168,2,9,18,2,150,0,0,0
RBJE1000,열라면,120,510,11,16,80,4,1710,0,8,0
SGJE1100,예감,32,160,2,8,20,3,200,0,0,0
SGJE1101,예감 볶은양파맛,32,160,2,8,20,3,190,0,4.2,0
SGJE1102,예감치즈그라탕맛,32,164,2,8,21,3,190,0,0,0
SGJE1200,오!감자 감자그라탕맛,30,166,1,10,18,0.7,170,0,3.7,0
SGJE1201,오!감자 찍먹 양념바베큐소스맛,30,135,0.7,7,17,4,160,0,2.9,0.1
RBJE1300,오뚜기 오동통면,120,505,10,16,80,4,1660,0,8,0
SBSE1400,오뜨 치즈,24,110,2,6,12,7,55,18,3.1,0.1
DHDE1500,오라떼 애플,240,80,0,0,19,17,25,0,0,0
DHDE1501,오라떼 오리지널,240,75,0,0,18,16,20,0,0,0
DHDE1502,오라떼 피치,240,75,0,0,18,17,20,0,0,0
DTSE1600,오란씨 오렌지,250,49,0,0,14,12,60,0,0,0
DTSE1601,오란씨 파인애플,200,55,0,0,14,14,15,0,0,0
DTSE1700,오랑지나,240,100,0,0,25,24,6,0,0,0
DTSE1800,오로나민C,120,70,0,0,17,17,0,0,0,0
RCPE1900,오모리 김치찌개라면,150,485,9,20,67,2,1870,4,11,0
RCPE1901,오모리부대찌개라면,135,435,11,18,57,5,1770,9,8,0
RCPE1902,오모리참치찌개라면,135,420,10,17,57,5,1790,5,8,0
SGJE2000,오사쯔,65,365,2,23,38,7,210,0,0,0
SGJE2100,오징어땅콩,98,492,12,24,57,20,320,3,0,0
SGJE2200,오징어집 버터구이맛,30,160,2,9,18,2,150,3,0,0.3
RBJE2300,오징어짬뽕,124,510,10,15,84,6,1750,12,8,0
RCPE2301,오징어짬뽕컵,67,290,6,9,46,5,1240,13,5,0
SGJE2400,옥수수깡,370,370,3,20,45,13,330,0,0,0
DATE2500,옥수수수염차,500,0,0,0,0,0,15,0,0,0
RBJJ0200,올리브짜파게티,140,610,11,20,97,6,1180,0,8,0
SGJE2600,와클,76,377,5,17,51,13,390,0,8,0
SGJG0701,왕고래밥볶음양념맛,56,247,4,7,42,6,390,0,3.6,0
SSNJ1701,왕짱구,90,155,2,8,19,4,65,0,0,0
RCPE2700,육개장사발면,86,375,7,15,53,4,1590,0,7,0
DHDE0100,이프로 부족할때 복숭아,240,65,0,0,16,16,10,0,0,0
SGJE2800,인디안밥,30,150,2,7,20,0.7,220,0,0,0
RBJE2900,일품짜장면,200,550,12,20,86,9,1160,5.2,10,0
SGJJ0300,자가비 짭짤한 맛,40,230,2,16,19,0,90,0,0,0
SSNJ0400,자갈치문어맛,30,155,1.8,8,19,2,150,0,0,0
DFDJ0500,제주사랑 감귤사랑,100,30,0,0,8,8,5,0,0,0
SGJJ0600,제크,50,255,3,12,33,3,540,2,6.5,0
SGJJ0601,제크샌드 콘버터맛,37,195,3,10,23,7,250,0,5,0
DHDJ0700,제티 쵸코렛맛 드링크 CAN,175,90,2,0.9,18,18,70,5,0.6,0
SGJJ0800,조청유과,30,155,0.8,9,18,2.4,85,0,0,0
SSNJ0900,죠리퐁,50,225,4,7,38,15,85,0,2.9,0
RBJJ1000,진라면(매운맛),120,500,12,16,77,4.6,1760,0,8,0
RBJJ1001,진라면(순한맛),120,500,12,16,77,4,1780,0,8,0
RCPJ1002,진라면Cup매운맛,65,280,6,9,44,3,1140,0,3.5,0
RCPJ1003,진라면Cup순한맛,65,280,7,9,43,3,1170,0,3.5,0
RBJJ1100,진비빔면,156,625,11,23,98,15,1400,0,11,0
RBJJ1200,진진짜라,135,540,13,16,86,7,1190,9,8,0
RBJJ1300,진짜장,135,540,11,17,86,8,1050,5,8,0
RBJJ1400,진짜쫄면,150,560,10,18,90,18,1250,0,9,0
RBJJ0101,진짬뽕,130,500,10,16,79,7,1780,18,7,0
RCPJ0102,진짬뽕 Cup,75,300,6,11,44,3,1140,10,3.7,0
RBJJ1500,짜왕,134,605,10,22,92,8,1180,0,9,0
RBJJ1501,짜왕매운맛,140,625,10,23,94,7,1250,0,10,0
RCPJ1502,짜왕매운맛큰사발면,104,470,7,18,70,6,1020,0,8,0
RCPJ1503,짜왕큰사발면,105,495,9,19,72,9,990,0,8,0
RBJJ1600,짜짜로니,140,570,12,20,85,7,1190,0,9,0
RCPJ0202,짜파게티범벅,70,315,6,10,50,6,850,3,4.6,0
RCPJ0203,짜파게티큰사발면,123,550,10,19,84,9,1220,0,9,0
SSNJ1700,짱구,30,155,2,8,19,5,55,0,4,0
SSNJ1800,쫄병 매콤한맛,30,160,2,9,18,3,170,0,0,0
RCPC0100,참깨라면 Cup,65,285,6,10,43,2,1300,10,3.4,0
SCAC0200,참크래커,100,450,9,13,74,0,740,15,7,0
DATC0300,초가을우엉차,500,10,0,0,0,0,40,0,0,0
SGJC0400,초코송이,50,266,3,14,32,20,110,5,9,0
SGJC0500,초코칩쿠키,64,328,4,16,42,18,200,12,8,0.3
SGJC0600,촉촉한초코칩,20,102,1,6,11,5,40,5,3.1,0.1
SGJC0700,쵸코하임,30,49.04,0.75,2.84,5.13,3.27,11.56,0.46,1.5,0.02
RBJB0205,치즈불닭볶음면,140,550,13,18,84,7,1440,0,9,0
SGJC0800,치즈샌드,30,150,2,7,20,4,180,0,0,0
SGJC0900,치킨팝,81,418,3,22,52,23,350,0,9,0
SGJC1000,치토스 스모키바베큐맛,82,480,5.5,29,49,2,470,0,13,3
SGJC1101,치토스매콤달콤한맛,100,580,7,34,62,2,380,0,0,0
SGJC1200,칙촉,90,440,6,22,55,30,200,30,14,0
SGJC1201,칙촉 더블초코,180,865,10,47,100,58,470,20,25,0.3
SGJC1202,칙촉 티라미수,180,870,12,48,97,53,580,25,28,0.9
DTSC1300,칠성사이다,250,110,0,0,28,27,6,0,0,0
DTSC1301,칠성사이다 복숭아,250,110,0,0,27,27,7,0,0,0
DTSC1302,칠성사이다 제로,250,0,0,0,4,0,6,0,0,0
SGJK0100,카라멜콘 땅콩,30,150,2,6,22,7,65,0,0,0
SGJK0200,카스타드,23,105,1,6,12,8,35,40,3,0
SGJK0201,카스타드,23,102,1,6,11,6,40,28,2.6,0
SGJK0300,카카오비스킷 오리온샌드 까메오 White cream,33,173,2,9,21,11,170,0,6,0
