F_code,product,section,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47
SBSH0800,후렌치파이딸기,전체,밀가루,마가린,백설탕,물엿,밀가루,함수결정포도당,가당딸기,가당사과,비엘마아가린,혼합식용유,정제소금,쇼트닝,레시틴,로커스트콩검,딸기향,결정구연산,적양배추색소,잔탄검,펙틴,아미드펙틴,레드칼라,정제수,,,,,,,,,,,,,,,,,,,,,,,,,
SBSH0801,후렌치파이사과,전체,밀가루,마가린,가당사과,백설탕,밀가루,물엿,비엘마아가린,혼합식용유,정제소금,쇼트닝,레시틴,펙틴,로커스트콩검,결정구연산,혼합제제(사과향(사과오일)),잔탄검,아미드펙틴,정제수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJG1400,꼬깔콘 고소한 맛,전체,"옥수수(씨,제한적사용)",혼합식용유,백설탕,정제염,탄산수소나트륨,복합조미식품(플러스고소한맛씨즈닝),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJG1401,꼬깔콘군옥수수맛,전체,"옥수수(씨,제한적사용)",혼합식용유,씨즈닝(플러스 로스트콘맛씨즈닝),백설탕,정제염,탄산수소나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJG1402,꼬깔콘매콤달콤한맛,전체,"옥수수(씨,제한적사용)",혼합식용유,매콤달콤한맛씨즈닝,백설탕,정제소금,탄산수소나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJE0200,더욱 달콤하고 바삭해진 엄마손파이,전체,"밀가루(강력, 박력)","마가린(가공유지(경화유; 팜스테아린에스테르화유,대두유))","백설탕(정백당, 쌍백당)","혼합분유(SP8812(탈지분유,유청분말))","가공버터(가공버터,팜스테아린유,가공버터,유크림,팜유,가공유크림,혼합분유,채종경화유,레시틴,글리세린지방산에스테르)",기타가공품(밀크베이스 KSA104),정제소금,"기타가공품(맥아추출분말,감초추출물)",벌꿀(아카시아벌꿀),팜추출물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCKM0100,더욱 커지고 맛있어진 마가렛트,전체,밀가루,빵류(케익분말),쇼트닝(Ⅰ),백설탕,물엿,전란액,가공버터,땅콩,글리세린,기타가공품(전지분골드Ⅰ),D-소르비톨액,쇼트닝(Ⅱ),당류가공품,주정,정제소금,혼합제제(H50K),혼합제제(베이킹파우더),탄산수소나트륨,레시틴,혼합분유,기타가공품(밀크베이스),바닐라향(HL-00425),탄산수소암모늄,버터향(FN11C),팜추출물,,,,,,,,,,,,,,,,,,,,,,
SCKD0800,딸기잼쿠키,전체,밀가루,잼,백설탕,마가린,전란액,식물성크림(엑스트라골드),물엿,혼합제제(베이킹파우다에이-300),탄산수소나트륨,정제소금,혼합제제(엑시드-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNL0200,롯샌 화이트크림깜뜨,전체,정제수,밀가루,기타설탕(분당),쇼트닝(Palkerin LS-5B),식물성유지(분무유400),설탕,유당,포도당(분말결정포도당),코코아분말(DF 800-11B),기타가공품(전지분골드 I),준초콜릿(GPD-4036),덱스트린,전분가공품,산도조절제(탄산수소나트륨),정제소금,산도조절제(탄산수소암모늄),산도조절제(산성피로인산나트륨),기타가공품(밀크베이스),레시틴,바닐린,유화제,혼합제제(초코향),혼합제제(바닐라향),,,,,,,,,,,,,,,,,,,,,,,,
SGJL0201,롯샌파인애플,전체,정제수,밀가루,식물성유지(분무유400),포도당(분말결정포도당),쇼트닝(Palkerin LS-5B),기타설탕(분당),설탕,유당,기타가공품(전지분골드 I),기타과당,정제소금,산도조절제(탄산수소나트륨),과채가공품(파인애플과즙분말),혼합제제(파인애플향),레시틴,산도조절제(탄산수소암모늄),바닐린,구연산,DL-사과산,유화제(자당지방산에스테르 SE-90),기타가공품(팜추출물),,,,,,,,,,,,,,,,,,,,,,,,,,
SBSB0700,빠다코코낫,전체,밀가루(중력),설탕,혼합식용유(분무유800),쇼트닝(팜쇼트닝),과채가공품(가당볶음코코낫분말),탄산수소암모늄(산도조절제 Ⅰ),전분(옥수수전분),버터(락틱버터),정제소금,기타과당(기타과당),탄산수소나트륨(산도조절제 Ⅱ),기타가공품(리코리즈졸),혼합제제(버터향(SK-D1170)),산성아황산나트륨(산화방지제),팜추출물(기타가공품3),정제수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJB1300,뻥소리,전체,옥수수,백설탕,물엿,마가린,황백당,무염가공버터,땅콩버터,소금,버터페이스트,레시틴,치자황색소,코치닐추출색소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAE0800,야채크래커,전체,정제수,밀가루,과채가공품(양파퓨레),쇼트닝(쇼트닝500LT),팜유(분뮤유400),설탕,소스류(바베큐맛페이스트),천일염,산도조절제(탄산수소암모늄),과채가공품(혼합야채분말),복합조미식품(복합간장맛분말),정제소금,산도조절제(탄산수소나트륨),산도조절제(제일인산칼슘),혼합제제(고로케향),레시틴,혼합제제(로스티드어니언향),천연향신료(백후추분),식품첨가물(아크릴어웨이 L),식품첨가물(프로테아제 200),식품첨가물(콤비자임 275MDP),식품첨가물(파파인 6000L),,,,,,,,,,,,,,,,,,,,,,,,,
SGJJ0600,제크,전체,밀가루(박력),혼합식용유(분무유800),쇼  트  닝Ⅰ(삼강쇼트닝 500),설탕,기타과당(액상과당),탄산수소암모늄(산도조절제1),제일인산칼슘(산도조절제2),쇼  트  닝Ⅱ(팜쇼트닝),탄산수소나트륨(산도조절제3),천일염(편상염),곡류가공품(맥아분말),기타소금(셀루살고운소금(안데스 소금)),유가공품(체다치즈분말),레  시  틴,혼합제제(크림치즈향SK-G4461),효소제(combizyme 275 MDP),효소제(protease 200),정제수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJJ0601,제크샌드 콘버터맛,전체,밀가루,쇼트닝(Palkerin Ls-58),"쇼트닝(삼강쇼트닝500LT, 업체:롯데푸드)","가공유지(분무유400, 업체:롯데푸드)",포도당(함수분말결정포도당),기타설탕(분당),혼합분유,설탕,복합조미식품(콘버터맛혼합분말),곡류가공품(밀단백질),유당,기타과당(액상과당),산도조절제(제일인산칼슘),산도조절제(탄산수소암모늄),쇼트닝(팜쇼트닝),기타소금(살루살 고운소금),산도조절제(탄산수소나트륨),기타가공품(전지분골드),곡류가공품(Malto Flour),합성향료(콘버터향),레시틴,합성향료(사워크림향),효소제제혼합제제(아밀라아제),효소제제혼합제제(프로테아제),,,,,,,,,,,,,,,,,,,,,,,
SGJC1000,치토스 스모키바베큐맛,전체,"옥수수(씨, 제한적사용)",식물성유지,복합조미식품(스모키바베큐맛씨즈닝),쌀(쌀그릿츠),곡류가공품(밀단백질),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJC1101,치토스매콤달콤한맛,전체,"옥수수(씨, 제한적사용)",식물성유지,복합시즈닝(HOT SWEET TASTE POWDER 3),쌀(쌀그릿츠),곡류가공품(밀단백질),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJC1200,칙촉,전체,밀가루,가공버터(발효가공버터),초콜릿(초콜릿칩),초콜릿(초콜릿칩),"기타설탕(원당, 흑당)",초콜릿,초콜릿,"당류가공품(스위트시럽(슈가시럽, 산도조절제))",전란액,마가린,혼합분유,과채가공품(엑스트라파인(코코넛100%)),폴리글리시톨시럽(물엿100%),글리세린,산도조절제(탄산수소나트륨),혼합제제(H50K),산도조절제(산성피로인산나트륨),산도조절제(탄산수소암모늄),정제소금,레시틴,글리세린지방산에스테르,기타가공품(계피분말),,,,,,,,,,,,,,,,,,,,,,,,,
SGJC1201,칙촉 더블초코,전체,밀가루,마가린(그랜드마가린에스비),당류가공품(스위트시럽),혼합분유,화이트초콜릿(화이트초콜릿칩),초콜릿(초콜릿칩),초콜릿,전란액,가공연유(밀키유),설탕,코코아분말,혼합제제(H50K),산도조절제(탄산수소나트륨),커피,정제소금,합성향료(바닐라향),레시틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJC1202,칙촉 티라미수,전체,식물성크림(크림치즈칩),밀가루,마가린(그랜드마가린SB),당류가공품,폴리글리시톨시럽,가공연유,전란액,혼합분유,설탕,화이트초콜릿,코코아분말,글리세린,혼합제제,산도조절제(탄산수소나트륨),커피분말,합성향료,자당지방산에스테르,정제소금,레시틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJK0200,카스타드,전체,전란액(전란액 I),설탕,밀가루,D-소르비톨액,쇼트닝(쇼트닝1),쇼트닝(쇼트닝2),기타가공품(기타가공품1),전란액(전란액 II),물엿,마가린,미강유(현미유),기타가공품(기타가공품2),글리세린,주정,기타 식용유지가공품,기타엿,기타가공품(기타가공품3),식물성크림,난황분,기타과당,우유,정제수,유크림,혼합제제(혼합제제1),당시럽류,기타가공품(기타가공품4),정제소금,과실주,합성향료,기타가공품(기타가공품5),혼합제제(혼합제제2),,,,,,,,,,,,,,,,
